"","fishery","species","management","MC","catchShare","illegalFishing","implementYear","npv1","npv2"
"173","Blue marlin single_stock","Blue marlin","close",1,"no_CS","illegal_fishing",2,58105.441913825,0
"174","Blue marlin single_stock","Blue marlin","openA",1,"no_CS","illegal_fishing",2,172835331.052576,0
"175","Blue marlin single_stock","Blue marlin","SQ",1,"CS","illegal_fishing",2,369910259.470464,0
"176","Blue marlin single_stock","Blue marlin","FMSY",1,"CS","illegal_fishing",2,416883886.926934,0
"177","Blue marlin single_stock","Blue marlin","minRec",1,"CS","illegal_fishing",2,327325857.677096,0
"178","Blue marlin single_stock","Blue marlin","econOpt",1,"CS","illegal_fishing",2,389151792.256638,0
"179","Blue marlin single_stock","Blue marlin","close",1,"CS","illegal_fishing",2,58105.441913825,0
"180","Blue marlin single_stock","Blue marlin","openA",1,"CS","illegal_fishing",2,456445259.612341,0
"181","Broadbanded thornyhead hokkaido_east_hokkaido_south","Broadbanded thornyhead","SQ",1,"no_CS","illegal_fishing",2,474435095.398642,0
"182","Broadbanded thornyhead hokkaido_east_hokkaido_south","Broadbanded thornyhead","FMSY",1,"no_CS","illegal_fishing",2,551750483.617853,0
"183","Broadbanded thornyhead hokkaido_east_hokkaido_south","Broadbanded thornyhead","minRec",1,"no_CS","illegal_fishing",2,569350866.069055,0
"184","Broadbanded thornyhead hokkaido_east_hokkaido_south","Broadbanded thornyhead","econOpt",1,"no_CS","illegal_fishing",2,559032854.015325,0
"185","Broadbanded thornyhead hokkaido_east_hokkaido_south","Broadbanded thornyhead","close",1,"no_CS","illegal_fishing",2,8847480.93013812,0
"186","Broadbanded thornyhead hokkaido_east_hokkaido_south","Broadbanded thornyhead","openA",1,"no_CS","illegal_fishing",2,253809644.333306,0
"187","Broadbanded thornyhead hokkaido_east_hokkaido_south","Broadbanded thornyhead","SQ",1,"CS","illegal_fishing",2,731764164.939693,0
"188","Broadbanded thornyhead hokkaido_east_hokkaido_south","Broadbanded thornyhead","FMSY",1,"CS","illegal_fishing",2,983848363.550291,0
"189","Broadbanded thornyhead hokkaido_east_hokkaido_south","Broadbanded thornyhead","minRec",1,"CS","illegal_fishing",2,967971520.659981,0
"190","Broadbanded thornyhead hokkaido_east_hokkaido_south","Broadbanded thornyhead","econOpt",1,"CS","illegal_fishing",2,895966980.477638,0
"191","Broadbanded thornyhead hokkaido_east_hokkaido_south","Broadbanded thornyhead","close",1,"CS","illegal_fishing",2,8847480.93013812,0
"192","Broadbanded thornyhead hokkaido_east_hokkaido_south","Broadbanded thornyhead","openA",1,"CS","illegal_fishing",2,675329474.729292,0
"193","Broadbanded thornyhead pacific_north","Broadbanded thornyhead","SQ",1,"no_CS","illegal_fishing",2,238004609.947741,0
"194","Broadbanded thornyhead pacific_north","Broadbanded thornyhead","FMSY",1,"no_CS","illegal_fishing",2,321152800.585675,0
"195","Broadbanded thornyhead pacific_north","Broadbanded thornyhead","minRec",1,"no_CS","illegal_fishing",2,338295225.583061,0
"196","Broadbanded thornyhead pacific_north","Broadbanded thornyhead","econOpt",1,"no_CS","illegal_fishing",2,330890839.218013,0
"197","Broadbanded thornyhead pacific_north","Broadbanded thornyhead","close",1,"no_CS","illegal_fishing",2,3799680.99301022,0
"198","Broadbanded thornyhead pacific_north","Broadbanded thornyhead","openA",1,"no_CS","illegal_fishing",2,182587071.537861,0
"199","Broadbanded thornyhead pacific_north","Broadbanded thornyhead","SQ",1,"CS","illegal_fishing",2,360353373.281511,0
"200","Broadbanded thornyhead pacific_north","Broadbanded thornyhead","FMSY",1,"CS","illegal_fishing",2,592240582.659178,0
"201","Broadbanded thornyhead pacific_north","Broadbanded thornyhead","minRec",1,"CS","illegal_fishing",2,575941931.672655,0
"202","Broadbanded thornyhead pacific_north","Broadbanded thornyhead","econOpt",1,"CS","illegal_fishing",2,533025105.713778,0
"203","Broadbanded thornyhead pacific_north","Broadbanded thornyhead","close",1,"CS","illegal_fishing",2,3799680.99301022,0
"204","Broadbanded thornyhead pacific_north","Broadbanded thornyhead","openA",1,"CS","illegal_fishing",2,468738315.680136,0
"205","Conger eels nei single_stock","Conger eels nei","SQ",1,"no_CS","illegal_fishing",2,539249910.930539,0
"206","Conger eels nei single_stock","Conger eels nei","FMSY",1,"no_CS","illegal_fishing",2,538245677.230837,0
"207","Conger eels nei single_stock","Conger eels nei","minRec",1,"no_CS","illegal_fishing",2,538245677.230837,0
"208","Conger eels nei single_stock","Conger eels nei","econOpt",1,"no_CS","illegal_fishing",2,534388552.537815,0
"209","Conger eels nei single_stock","Conger eels nei","close",1,"no_CS","illegal_fishing",2,16257883.153044,0
"210","Conger eels nei single_stock","Conger eels nei","openA",1,"no_CS","illegal_fishing",2,141929870.38985,0
"211","Conger eels nei single_stock","Conger eels nei","SQ",1,"CS","illegal_fishing",2,894639231.856079,0
"212","Conger eels nei single_stock","Conger eels nei","FMSY",1,"CS","illegal_fishing",2,909209639.31932,0
"213","Conger eels nei single_stock","Conger eels nei","minRec",1,"CS","illegal_fishing",2,909209639.31932,0
"214","Conger eels nei single_stock","Conger eels nei","econOpt",1,"CS","illegal_fishing",2,846050065.139557,0
"215","Conger eels nei single_stock","Conger eels nei","close",1,"CS","illegal_fishing",2,16257883.153044,0
"216","Conger eels nei single_stock","Conger eels nei","openA",1,"CS","illegal_fishing",2,432964187.08213,0
"217","Crison seabream, Yellowback seabream single_stock","Crison seabream, Yellowback seabream","SQ",1,"no_CS","illegal_fishing",2,206694245.196538,0
"218","Crison seabream, Yellowback seabream single_stock","Crison seabream, Yellowback seabream","FMSY",1,"no_CS","illegal_fishing",2,322836557.700372,0
"219","Crison seabream, Yellowback seabream single_stock","Crison seabream, Yellowback seabream","minRec",1,"no_CS","illegal_fishing",2,322836557.700372,0
"220","Crison seabream, Yellowback seabream single_stock","Crison seabream, Yellowback seabream","econOpt",1,"no_CS","illegal_fishing",2,322743770.718891,0
"221","Crison seabream, Yellowback seabream single_stock","Crison seabream, Yellowback seabream","close",1,"no_CS","illegal_fishing",2,16001381.2299637,0
"222","Crison seabream, Yellowback seabream single_stock","Crison seabream, Yellowback seabream","openA",1,"no_CS","illegal_fishing",2,16248809.7175626,0
"223","Crison seabream, Yellowback seabream single_stock","Crison seabream, Yellowback seabream","SQ",1,"CS","illegal_fishing",2,504381724.667084,0
"224","Crison seabream, Yellowback seabream single_stock","Crison seabream, Yellowback seabream","FMSY",1,"CS","illegal_fishing",2,539928027.981065,0
"225","Crison seabream, Yellowback seabream single_stock","Crison seabream, Yellowback seabream","minRec",1,"CS","illegal_fishing",2,539928027.981065,0
