"Fishery","Country","Species","Scientific.x","Time","N","phi_lower","phi_expected","phi_upper","g_lower","g_expected","g_upper","K_lower","K_expected","K_upper","b0_lower","b0_expected","b0_upper","f0_total_lower","f0_total_expected","f0_total_upper","theta_domestic","theta_legal1_lower","theta_legal1_expected","theta_legal1_upper","theta_legal2_lower","theta_legal2_expected","theta_legal2_upper","p1_lower","p1_expected","p1_upper","p2_lower","p2_expected","p2_upper","beta_lower","beta_expected","beta_upper","c1_lower","c1_expected","c1_upper","c2_lower","c2_expected","c2_upper","disc_lower","disc_expected","disc_upper","gamma_p1","gamma_p2","gamma_c1","gamma_c2","lambda","split"
"Japanese hard clam single_stock","Japan","Japanese hard clam","Meretrix lusoria",50,1,0.188,0.188,0.188,0.036155730441366,0.036155730441366,0.036155730441366,150053.999764151,150053.999764151,150053.999764151,0.941544579477303,0.941544579477303,0.941544579477303,0.424809411956524,0.424809411956524,0.424809411956524,1,1,1,1,0,0,0,10349.82304,11189.555985,12526.46905,10349.82304,11189.555985,12526.46905,1,1.3,1.5,310606468.800633,782350304.37257,1539185484.19257,310606468.800633,782350304.37257,1539185484.19257,0.01,0.02,0.03,1.31,1.31,0.77,0.77,0.1,1
"Japanese jack mackerel pacific_stock","Japan","Japanese jack mackerel","Trachurus japonicus",50,1,0.188,0.188,0.188,0.0403117866502315,0.0403117866502315,0.0403117866502315,2452497.79382221,2452497.79382221,2452497.79382221,0.492335682561715,0.492335682561715,0.492335682561715,1.51434359873881,1.51434359873881,1.51434359873881,1,1,1,1,0,0,0,1959.496779,2573.36459230769,3474.071662,1959.496779,2573.36459230769,3474.071662,1,1.3,1.5,961132305.499844,2846258236.7189,6607461747.64225,961132305.499844,2846258236.7189,6607461747.64225,0.01,0.02,0.03,1.31,1.31,0.77,0.77,0.1,1
"Japanese jack mackerel tsushima_current_stock","Japan","Japanese jack mackerel","Trachurus japonicus",50,1,0.188,0.188,0.188,0.0344493095420304,0.0344493095420304,0.0344493095420304,10519517.8725524,10519517.8725524,10519517.8725524,0.400923309517071,0.400923309517071,0.400923309517071,2.10306032517147,2.10306032517147,2.10306032517147,1,1,1,1,0,0,0,1496.957489,1928.12885092308,2304.937499,1496.957489,1928.12885092308,2304.937499,1,1.3,1.5,3149454211.99732,9588964269.87917,20340799140.675,3149454211.99732,9588964269.87917,20340799140.675,0.01,0.02,0.03,1.31,1.31,0.77,0.77,0.1,1
"Japanese pilchard pacific_stock","Japan","Japanese pilchard","Sardinops melanostictus",50,1,0.188,0.188,0.188,0.0355672161209948,0.0355672161209948,0.0355672161209948,45675913.7234069,45675913.7234069,45675913.7234069,0.48747861965474,0.48747861965474,0.48747861965474,0.847469491864131,0.847469491864131,0.847469491864131,1,1,1,1,0,0,0,1066.038838,1714.79849976923,2445.980275,1066.038838,1714.79849976923,2445.980275,1,1.3,1.5,9738459598.05779,36675778796.5542,92239839880.2623,9738459598.05779,36675778796.5542,92239839880.2623,0.01,0.02,0.03,1.31,1.31,0.77,0.77,0.1,1
"Japanese pilchard tsushima_current_stock","Japan","Japanese pilchard","Sardinops melanostictus",50,1,0.188,0.188,0.188,0.034153555496235,0.034153555496235,0.034153555496235,20371618.6533799,20371618.6533799,20371618.6533799,0.515182129673618,0.515182129673618,0.515182129673618,0.499784107099665,0.499784107099665,0.499784107099665,1,1,1,1,0,0,0,860.3102958,2081.31553806154,3395.015611,860.3102958,2081.31553806154,3395.015611,1,1.3,1.5,3505182653.92282,20096788210.6771,58271022037.261,3505182653.92282,20096788210.6771,58271022037.261,0.01,0.02,0.03,1.31,1.31,0.77,0.77,0.1,1
"Japanese sandfish hokkaido","Japan","Japanese sandfish","Arctoscopus japonicus",50,1,0.188,0.188,0.188,0.0395931764960744,0.0395931764960744,0.0395931764960744,83121.2524189298,83121.2524189298,83121.2524189298,0.778826850007413,0.778826850007413,0.778826850007413,0.574489325995506,0.574489325995506,0.574489325995506,1,1,1,1,0,0,0,3285.229202,4150.79455369231,5774.566474,3285.229202,4150.79455369231,5774.566474,1,1.3,1.5,54614473.1506962,156441215.184251,375599126.297073,54614473.1506962,156441215.184251,375599126.297073,0.01,0.02,0.03,1.31,1.31,0.77,0.77,0.1,1
"Japanese sandfish sea_of_japan_north_stock","Japan","Japanese sandfish","Arctoscopus japonicus",50,1,0.188,0.188,0.188,0.0336119647216817,0.0336119647216817,0.0336119647216817,204262.087729496,204262.087729496,204262.087729496,0.778088917738165,0.778088917738165,0.778088917738165,1.31596527589598,1.31596527589598,1.31596527589598,1,1,1,1,0,0,0,1702.52864,2480.09461761538,3917.955585,1702.52864,2480.09461761538,3917.955585,1,1.3,1.5,69552410.8851321,241269161.336285,679678618.918886,69552410.8851321,241269161.336285,679678618.918886,0.01,0.02,0.03,1.31,1.31,0.77,0.77,0.1,1
"Japanese sandfish sea_of_japan_west_stock","Japan","Japanese sandfish","Arctoscopus japonicus",50,1,0.188,0.188,0.188,0.041225380583077,0.041225380583077,0.041225380583077,266287.884526704,266287.884526704,266287.884526704,1.49029985647552,1.49029985647552,1.49029985647552,0.810959854420553,0.810959854420553,0.810959854420553,1,1,1,1,0,0,0,2060.209076,3391.06472592308,4591.008379,2060.209076,3391.06472592308,4591.008379,1,1.3,1.5,109721743.306151,404512599.012067,937519779.295049,109721743.306151,404512599.012067,937519779.295049,0.01,0.02,0.03,1.31,1.31,0.77,0.77,0.1,1
"Japanese seabass single_stock","Japan","Japanese seabass","Lateolabrax japonicus",50,1,0.188,0.188,0.188,0.0459697754642249,0.0459697754642249,0.0459697754642249,341483.665411128,341483.665411128,341483.665411128,0.71372144144061,0.71372144144061,0.71372144144061,1.59770698481442,1.59770698481442,1.59770698481442,1,1,1,1,0,0,0,5153.258981,5829.77451238462,6251.542643,5153.258981,5829.77451238462,6251.542643,1,1.3,1.5,351950753.128939,863125494.723207,1550330260.56989,351950753.128939,863125494.723207,1550330260.56989,0.01,0.02,0.03,1.31,1.31,0.77,0.77,0.1,1
"Japanese seabream pacific_central_stock","Japan","Japanese seabream","Pagrus major",50,1,0.188,0.188,0.188,0.0337075368347571,0.0337075368347571,0.0337075368347571,84259.1134276958,84259.1134276958,84259.1134276958,0.489809054614527,0.489809054614527,0.489809054614527,3.32506170657247,3.32506170657247,3.32506170657247,1,1,1,1,0,0,0,6800.108107,8488.19852192308,9991.440015,6800.108107,8488.19852192308,9991.440015,1,1.3,1.5,114594216.061661,340336302.417458,713977859.675227,114594216.061661,340336302.417458,713977859.675227,0.01,0.02,0.03,1.31,1.31,0.77,0.77,0.1,1
"Japanese seabream pacific_south_stock","Japan","Japanese seabream","Pagrus major",50,1,0.188,0.188,0.188,0.0390918967718202,0.0390918967718202,0.0390918967718202,23542.1496380668,23542.1496380668,23542.1496380668,0.787839270609735,0.787839270609735,0.787839270609735,1.82400152359463,1.82400152359463,1.82400152359463,1,1,1,1,0,0,0,7136.11934,9439.50445307692,11966.80577,7136.11934,9439.50445307692,11966.80577,1,1.3,1.5,33599917.8674765,101149387.327776,221862687.419496,33599917.8674765,101149387.327776,221862687.419496,0.01,0.02,0.03,1.31,1.31,0.77,0.77,0.1,1
"Japanese seabream sea_of_japan_north_central_stock","Japan","Japanese seabream","Pagrus major",50,1,0.188,0.188,0.188,0.0434758084439655,0.0434758084439655,0.0434758084439655,87758.2717136033,87758.2717136033,87758.2717136033,0.707228723065235,0.707228723065235,0.707228723065235,1.79184673411543,1.79184673411543,1.79184673411543,1,1,1,1,0,0,0,6079.115197,6952.03036115385,8406.307911,6079.115197,6952.03036115385,8406.307911,1,1.3,1.5,106698528.647324,268979628.819784,550900041.34622,106698528.647324,268979628.819784,550900041.34622,0.01,0.02,0.03,1.31,1.31,0.77,0.77,0.1,1
