"","alphabet_pref","fish_stock","harvest_FMSY","rank_number"
"163","aichi","whitebait_single_stock",6205.67158767325,3
"164","aichi","japanese_anchovy_pacific_stock",6079.90019715875,4
"165","aichi","sand_lance_ise_mikawa_bay_stock",2936.82658851525,5
"166","aichi","righteye_flounder_pacific_north",2376.22943602894,6
"167","aichi","sea_cucumber_single_stock",810.689235236205,7
"168","aichi","shad_single_stock",585.765360650567,8
"169","aichi","octopus_single_stock",578.61991386043,9
"170","aichi","mackerel_pacific_stock",481.41941815057,10
"171","mie","japanese_sardine_pacific_stock",32437.2667610116,1
"172","mie","mackerel_pacific_stock",21573.3898311459,2
"173","mie","round_herring_pacific_stock",10085.3688775244,3
"174","mie","skipjack_single_stock",9908.05214716057,4
"175","mie","japanese_anchovy_pacific_stock",9278.91678802834,5
"176","mie","manila_clam_single_stock",4723.32385005256,6
"177","mie","amberstripe_scad_single_stock",2706.38739587477,7
"178","mie","sand_lance_ise_mikawa_bay_stock",2646.81295092202,8
"179","mie","yellowfin_tuna_single_stock",2627.9764063979,9
"180","mie","japanese_jack_mackerel_pacific_stock",2316.11250567908,10
"181","kyoto","japanese_sardine_tsushima_current_stock",2534.55068932336,1
"182","kyoto","japanese_jack_mackerel_tsushima_current_stock",1846.87374993882,2
"183","kyoto","japanese_spanish_mackerel_east_china_sea_stock",1429.95731198083,3
"184","kyoto","yellowtail_single_stock",1126.18442023769,4
"185","kyoto","japanese_anchovy_tsushima_current_stock",997.566293477038,5
"186","kyoto","mackerel_tsushima_current_stock",669.224638464411,6
"187","kyoto","sea_cucumber_single_stock",481.324012310643,7
"188","kyoto","righteye_flounder_sea_of_japan_stock",401.406747081551,8
"189","kyoto","amberstripe_scad_single_stock",177.400112655646,9
"190","kyoto","sandfish_sea_of_japan_west_stock",167.019675766947,10
"191","osaka","japanese_anchovy_seto_inland_sea_stock",5539.92873856084,1
"192","osaka","japanese_sardine_pacific_stock",3993.94064978921,2
"193","osaka","whitebait_single_stock",2825.62607476431,3
"194","osaka","shad_single_stock",1137.77634498114,4
"195","osaka","sand_lance_seto_inland_sea_east_stock",1034.7880353152,5
"196","osaka","righteye_flounder_pacific_north",629.80105153326,6
"197","osaka","japanese_jack_mackerel_pacific_stock",297.53950902659,7
"198","osaka","japanese_seabass_single_stock",240.288987757858,8
"199","osaka","conger_eel_single_stock",177.488679311006,9
"200","osaka","octopus_single_stock",173.442928443948,10
"201","hyogo","japanese_sardine_tsushima_current_stock",13144.6517731575,1
"202","hyogo","sand_lance_seto_inland_sea_east_stock",11438.4463807377,2
"203","hyogo","whitebait_single_stock",10109.4172135211,3
"204","hyogo","righteye_flounder_sea_of_japan_stock",4945.05559586031,4
"205","hyogo","octopus_single_stock",3206.99550835715,5
"206","hyogo","sea_cucumber_single_stock",2509.1377137221,6
"207","hyogo","sandfish_sea_of_japan_west_stock",1848.24160866261,7
"208","hyogo","japanese_common_squid_winter_stock",1625.59062268248,8
"209","hyogo","red_snow_crab_single_stock",1534.41925305408,9
"210","hyogo","amberstripe_scad_single_stock",975.746649733882,10
"211","wakayama","japanese_sardine_pacific_stock",8434.66910390684,1
"212","wakayama","mackerel_pacific_stock",5271.84238309251,2
"213","wakayama","amberstripe_scad_single_stock",3889.4537413536,3
"214","wakayama","round_herring_pacific_stock",3400.89941830988,4
"215","wakayama","whitebait_single_stock",2645.44895477006,5
"216","wakayama","largehead_hairtail_single_stock",2213.84948668154,6
"217","wakayama","japanese_jack_mackerel_pacific_stock",1841.03827541733,7
"218","wakayama","skipjack_single_stock",426.255122029543,8
"219","wakayama","bigeye_tuna_single_stock",422.521359974307,9
"220","wakayama","yellowtail_single_stock",395.483912689777,10
"221","tottori","mackerel_tsushima_current_stock",10344.9440443728,1
"222","tottori","japanese_jack_mackerel_tsushima_current_stock",8118.43977566355,2
"223","tottori","japanese_common_squid_winter_stock",4947.70620192553,3
"224","tottori","japanese_sardine_tsushima_current_stock",4848.37474203897,4
"225","tottori","yellowtail_single_stock",3986.24328602733,5
"226","tottori","righteye_flounder_sea_of_japan_stock",3226.78620273396,6
"227","tottori","red_snow_crab_single_stock",2549.94365294797,7
"228","tottori","skipjack_single_stock",2199.13489752012,8
"229","tottori","sandfish_sea_of_japan_west_stock",1544.38465171956,9
"230","tottori","yellowfin_tuna_single_stock",485.430705138786,10
"231","shimane","japanese_sardine_tsushima_current_stock",91947.8666737862,1
"232","shimane","japanese_jack_mackerel_tsushima_current_stock",25746.7342968539,2
"233","shimane","mackerel_tsushima_current_stock",18371.034949259,3
"234","shimane","round_herring_tsushima_current_stock",8955.32044483558,4
"235","shimane","yellowtail_single_stock",6455.18354755392,5
"236","shimane","japanese_anchovy_tsushima_current_stock",5617.27429216487,6
"237","shimane","righteye_flounder_sea_of_japan_stock",5584.03787057189,7
"238","shimane","japanese_common_squid_winter_stock",3181.12084578517,8
"239","shimane","red_snow_crab_single_stock",2517.32740503504,9
"240","shimane","japanese_spanish_mackerel_east_china_sea_stock",935.35937398063,10
"241","okayama","righteye_flounder_pacific_north",1331.18318062847,1
"242","okayama","octopus_single_stock",1031.62780995604,2
"243","okayama","sea_cucumber_single_stock",641.280632715993,3
"244","okayama","sand_lance_seto_inland_sea_east_stock",397.189146010274,4
"245","okayama","whitebait_single_stock",214.391458247367,5
"246","okayama","swimming_crab_single_stock",124.353713211609,6
"247","okayama","japanese_seabass_single_stock",105.873937479282,7
"248","okayama","blackhead_seabream_and_goldlined_seabream_single_stock",85.2245521086129,8
"249","okayama","japanese_seabream_seto_inland_sea_central_west_stock",72.0019994845483,9
"250","okayama","conger_eel_single_stock",66.2630961840147,10
"251","hiroshima","japanese_anchovy_seto_inland_sea_stock",5403.81396445355,1
"252","hiroshima","whitebait_single_stock",2567.54695342492,2
"253","hiroshima","sea_cucumber_single_stock",1235.30135485768,3
"254","hiroshima","righteye_flounder_pacific_north",1106.88331193305,4
"255","hiroshima","largehead_hairtail_single_stock",933.238857764755,5
"256","hiroshima","octopus_single_stock",569.590153152781,6
"257","hiroshima","manila_clam_single_stock",369.321001292226,7
"258","hiroshima","blackhead_seabream_and_goldlined_seabream_single_stock",368.298426491095,8
"259","hiroshima","japanese_sardine_pacific_stock",347.927887254432,9
"260","hiroshima","shad_single_stock",315.636326758259,10
"261","yamaguchi","japanese_sardine_tsushima_current_stock",11253.2528353291,1
"262","yamaguchi","sea_cucumber_single_stock",5236.39809163331,2
"263","yamaguchi","mackerel_tsushima_current_stock",4967.30452981313,3
"264","yamaguchi","japanese_jack_mackerel_tsushima_current_stock",4075.31178761052,4
"265","yamaguchi","righteye_flounder_sea_of_japan_stock",3412.63266437064,5
"266","yamaguchi","round_herring_tsushima_current_stock",2704.67662134786,6
"267","yamaguchi","japanese_anchovy_tsushima_current_stock",2189.02109374597,7
"268","yamaguchi","yellowtail_single_stock",1339.17237914756,8
"269","yamaguchi","octopus_single_stock",967.883063574322,9
"270","yamaguchi","daggertooth_pike_conger_single_stock",832.327180143247,10
"271","tokushima","japanese_sardine_pacific_stock",5258.167171416,1
"272","tokushima","whitebait_single_stock",2862.04778967892,2
"273","tokushima","japanese_anchovy_seto_inland_sea_stock",1099.48575337973,3
"274","tokushima","daggertooth_pike_conger_single_stock",922.204179390249,4
"275","tokushima","largehead_hairtail_single_stock",857.550248598313,5
"276","tokushima","mackerel_pacific_stock",739.34757441427,6
"277","tokushima","amberstripe_scad_single_stock",669.001877876792,7
"278","tokushima","round_herring_pacific_stock",478.760517862866,8
"279","tokushima","sea_cucumber_single_stock",468.963728006594,9
"280","tokushima","japanese_jack_mackerel_pacific_stock",421.926381196334,10
"281","kagawa","japanese_anchovy_seto_inland_sea_stock",4884.96971580998,1
"282","kagawa","righteye_flounder_pacific_north",2703.77845063178,2
"283","kagawa","octopus_single_stock",2127.0003662938,3
"284","kagawa","whitebait_single_stock",2037.68458063939,4
"285","kagawa","sand_lance_seto_inland_sea_east_stock",1720.54216893249,5
"286","kagawa","sea_cucumber_single_stock",688.540543290301,6
"287","kagawa","japanese_sardine_pacific_stock",452.099680469711,7
"288","kagawa","japanese_seabream_seto_inland_sea_east_stock",191.64206409619,8
"289","kagawa","round_herring_pacific_stock",182.722209480206,9
"290","kagawa","blackhead_seabream_and_goldlined_seabream_single_stock",162.056244632308,10
"291","ehime","japanese_sardine_pacific_stock",7695.13790334738,1
"292","ehime","mackerel_pacific_stock",6958.76223536961,2
"293","ehime","japanese_anchovy_seto_inland_sea_stock",6576.12399360039,3
"294","ehime","whitebait_single_stock",5699.906410109,4
"295","ehime","round_herring_pacific_stock",4904.69848082786,5
"296","ehime","japanese_jack_mackerel_pacific_stock",4459.7558188539,6
"297","ehime","righteye_flounder_pacific_north",3043.69487654113,7
"298","ehime","largehead_hairtail_single_stock",2537.60031604672,8
"299","ehime","skipjack_single_stock",2014.14541252124,9
"300","ehime","lizardfish_single_stock",1612.19437678886,10
"301","kochi","japanese_sardine_pacific_stock",19571.3125383494,1
"302","kochi","round_herring_pacific_stock",8805.60518554482,2
"303","kochi","auxis_single_stock",7143.20955749552,3
"304","kochi","mackerel_pacific_stock",5392.23209278641,4
"305","kochi","skipjack_single_stock",5371.67901421715,5
"306","kochi","yellowfin_tuna_single_stock",3388.70049808091,6
"307","kochi","bigeye_tuna_single_stock",3062.62406169403,7
"308","kochi","albacore_tuna_single_stock",1950.15348360318,8
"309","kochi","amberstripe_scad_single_stock",1835.58943759259,9
"310","kochi","japanese_jack_mackerel_pacific_stock",1492.56206081897,10
"311","fukuoka","mackerel_tsushima_current_stock",10321.7156050866,1
"312","fukuoka","japanese_sardine_tsushima_current_stock",6024.31492672504,2
"313","fukuoka","japanese_jack_mackerel_tsushima_current_stock",4450.76909250517,3
"314","fukuoka","manila_clam_single_stock",3394.62216679082,4
"315","fukuoka","yellowtail_single_stock",1831.21430808218,5
"316","fukuoka","righteye_flounder_sea_of_japan_stock",1177.47779981728,6
"317","fukuoka","octopus_single_stock",1161.35239200355,7
"318","fukuoka","japanese_seabream_sea_of_japan_west_east_china_sea_stock",1085.74464905291,8
"319","fukuoka","japanese_spanish_mackerel_east_china_sea_stock",893.287144624435,9
"320","fukuoka","amberstripe_scad_single_stock",801.844826793293,10
"321","saga","mackerel_tsushima_current_stock",3039.9580366209,1
"322","saga","japanese_jack_mackerel_tsushima_current_stock",1585.00632583533,2
"323","saga","shad_single_stock",427.947197271437,3
"324","saga","japanese_anchovy_tsushima_current_stock",427.778925650568,4
"325","saga","japanese_common_squid_winter_stock",316.874010989269,5
"326","saga","amberstripe_scad_single_stock",261.727306839648,6
"327","saga","japanese_sardine_tsushima_current_stock",259.734361180659,7
"328","saga","sea_urchin_single_stock",187.972915437233,8
"329","saga","japanese_seabream_sea_of_japan_west_east_china_sea_stock",173.444534130499,9
"330","saga","righteye_flounder_sea_of_japan_stock",155.862512157507,10
"331","nagasaki","mackerel_tsushima_current_stock",90163.6941233874,1
"332","nagasaki","japanese_sardine_tsushima_current_stock",35654.9630754813,2
"333","nagasaki","japanese_jack_mackerel_tsushima_current_stock",32015.5521803015,3
"334","nagasaki","japanese_anchovy_tsushima_current_stock",14188.9329782651,4
"335","nagasaki","japanese_common_squid_winter_stock",12395.1558084007,5
"336","nagasaki","amberstripe_scad_single_stock",7250.29749471097,6
"337","nagasaki","yellowtail_single_stock",6431.59785127819,7
"338","nagasaki","round_herring_tsushima_current_stock",5955.74010801309,8
"339","nagasaki","sea_cucumber_single_stock",2084.52559410063,9
"340","nagasaki","skipjack_single_stock",2052.64230350627,10
"341","kumamoto","manila_clam_single_stock",6040.92455524078,1
"342","kumamoto","japanese_sardine_tsushima_current_stock",2310.01842104997,2
"343","kumamoto","round_herring_tsushima_current_stock",1920.77789229014,3
"344","kumamoto","whitebait_single_stock",1437.002206631,4
"345","kumamoto","shad_single_stock",1256.85689542479,5
"346","kumamoto","japanese_anchovy_tsushima_current_stock",724.004830310599,6
"347","kumamoto","auxis_single_stock",677.436171770093,7
"348","kumamoto","octopus_single_stock",648.35469952346,8
"349","kumamoto","japanese_jack_mackerel_tsushima_current_stock",563.552376312262,9
"350","kumamoto","japanese_seabream_sea_of_japan_west_east_china_sea_stock",544.685784928118,10
"351","oita","mackerel_pacific_stock",3805.55566988963,1
"352","oita","round_herring_pacific_stock",3762.09448356146,2
"353","oita","japanese_sardine_pacific_stock",3625.06036219969,3
"354","oita","japanese_anchovy_seto_inland_sea_stock",3030.70743866738,4
"355","oita","whitebait_single_stock",2532.96471906156,5
"356","oita","japanese_jack_mackerel_pacific_stock",2325.92194226907,6
"357","oita","largehead_hairtail_single_stock",2235.86183386641,7
"358","oita","sea_cucumber_single_stock",1472.32798327652,8
"359","oita","amberstripe_scad_single_stock",1391.58282454735,9
"360","oita","bigeye_tuna_single_stock",1222.07979604985,10
"361","miyazaki","round_herring_pacific_stock",17668.576646159,1
"362","miyazaki","japanese_sardine_pacific_stock",12189.575327338,2
"363","miyazaki","mackerel_pacific_stock",8692.5274176492,3
"364","miyazaki","skipjack_single_stock",5623.63350040405,4
"365","miyazaki","yellowfin_tuna_single_stock",4283.74148398336,5
"366","miyazaki","japanese_anchovy_pacific_stock",3285.26394734164,6
"367","miyazaki","amberstripe_scad_single_stock",3169.26636133018,7
"368","miyazaki","whitebait_single_stock",3058.04444241386,8
"369","miyazaki","bigeye_tuna_single_stock",2402.3290406078,9
"370","miyazaki","japanese_jack_mackerel_pacific_stock",2264.45215314575,10
"371","kagoshima","mackerel_tsushima_current_stock",9461.24007223538,1
"372","kagoshima","round_herring_pacific_stock",7871.21952001167,2
"373","kagoshima","whitebait_single_stock",5297.70398757973,3
"374","kagoshima","neon_flying_squid_single_stock",4683.88644358412,4
"375","kagoshima","bigeye_tuna_single_stock",3875.4858310548,5
"376","kagoshima","yellowfin_tuna_single_stock",3266.08289783034,6
"377","kagoshima","amberstripe_scad_single_stock",2529.63170500874,7
"378","kagoshima","japanese_sardine_pacific_stock",2245.15298238483,8
"379","kagoshima","japanese_jack_mackerel_pacific_stock",2175.966210791,9
"380","kagoshima","skipjack_single_stock",2100.55049195557,10
"381","okinawa","bigeye_tuna_single_stock",1327.75697876627,1
"382","okinawa","yellowfin_tuna_single_stock",1327.50988718988,2
"383","okinawa","albacore_tuna_single_stock",615.874780200683,3
"384","okinawa","blue_marlin_single_stock",452.167462791484,4
"385","okinawa","dolphinfish_single_stock",276.699509566126,5
"386","okinawa","skipjack_single_stock",174.258050786242,6
"387","okinawa","octopus_single_stock",155.294003457288,7
"388","okinawa","japanese_spanish_mackerel_east_china_sea_stock",147.252802746684,8
"389","okinawa","sea_urchin_single_stock",95.8223620596857,9
"390","okinawa","spiny_top_shell_single_stock",43.6701129589382,10
