X,fishery,species,management,MC,catchShare,illegalFishing,implementYear,time,biomass,harvest1,harvest2,harvest_ill_for,profit1,profit2,BvBMSY,FvFMSY1,FvFMSY2,FvFMSYill,FvFMSYtotal,harvest,profit
100,Abalones nei single_stock,Abalones nei,BAU,1,no_CS,illegal_fishing,2,4,45603.76695,1376.912752,0,0,32493269.96,0,0.741674698,0.828466244,0,0,0.828466244,1376.912752,32493269.96
101,Abalones nei single_stock,Abalones nei,econOpt,1,no_CS,illegal_fishing,2,4,47595.74888,447.914637,0,0,14735359.17,0,0.774071202,0.258223762,0,0,0.258223762,447.914637,14735359.17
102,Abalones nei single_stock,Abalones nei,FMSY,1,no_CS,illegal_fishing,2,4,45054.66668,1641.990605,0,0,35410423.23,0,0.732744432,1,0,0,1,1641.990605,35410423.23
103,Abalones nei single_stock,Abalones nei,BAU,1,no_CS,illegal_fishing,2,40,64403.40989,1944.529637,0,0,62148252.14,0,1.047421798,0.828466244,0,0,0.828466244,1944.529637,62148252.14
104,Abalones nei single_stock,Abalones nei,econOpt,1,no_CS,illegal_fishing,2,40,70740.76563,2177.77442,0,0,73325185.8,0,1.150489082,0.844718974,0,0,0.844718974,2177.77442,73325185.8
105,Abalones nei single_stock,Abalones nei,FMSY,1,no_CS,illegal_fishing,2,40,56538.77784,2060.522226,0,0,57276488.32,0,0.919515728,1,0,0,1,2060.522226,57276488.32
106,Abalones nei single_stock,Abalones nei,BAU,1,no_CS,illegal_fishing,2,41,64696.80213,1953.388017,0,0,62611055.7,0,1.052193369,0.828466244,0,0,0.828466244,1953.388017,62611055.7
107,Abalones nei single_stock,Abalones nei,econOpt,1,no_CS,illegal_fishing,2,41,70774.87453,2182.300744,0,0,73477739.72,0,1.151043811,0.846066707,0,0,0.846066707,2182.300744,73477739.72
108,Abalones nei single_stock,Abalones nei,FMSY,1,no_CS,illegal_fishing,2,41,56710.31587,2066.773827,0,0,57603101.47,0,0.922305529,1,0,0,1,2066.773827,57603101.47
109,Abalones nei single_stock,Abalones nei,BAU,1,no_CS,illegal_fishing,2,42,64980.71573,1961.960209,0,0,63058907.43,0,1.056810784,0.828466244,0,0,0.828466244,1961.960209,63058907.43
110,Abalones nei single_stock,Abalones nei,econOpt,1,no_CS,illegal_fishing,2,42,70804.24696,2186.201214,0,0,73609217.66,0,1.151521508,0.847227289,0,0,0.847227289,2186.201214,73609217.66
111,Abalones nei single_stock,Abalones nei,FMSY,1,no_CS,illegal_fishing,2,42,56876.2095,2072.819722,0,0,57918967.53,0,0.925003532,1,0,0,1,2072.819722,57918967.53
112,Abalones nei single_stock,Abalones nei,BAU,1,no_CS,illegal_fishing,2,43,65255.40154,1970.253787,0,0,63492203.05,0,1.061278124,0.828466244,0,0,0.828466244,1970.253787,63492203.05
