"Fishery","Country","Species","Scientific.x","Time","N","phi_lower","phi_expected","phi_upper","g_lower","g_expected","g_upper","K_lower","K_expected","K_upper","b0_lower","b0_expected","b0_upper","f0_total_lower","f0_total_expected","f0_total_upper","theta_domestic","theta_legal1_lower","theta_legal1_expected","theta_legal1_upper","theta_legal2_lower","theta_legal2_expected","theta_legal2_upper","p1_lower","p1_expected","p1_upper","p2_lower","p2_expected","p2_upper","beta_lower","beta_expected","beta_upper","c1_lower","c1_expected","c1_upper","c2_lower","c2_expected","c2_upper","disc_lower","disc_expected","disc_upper","gamma_p1","gamma_p2","gamma_c1","gamma_c2","lambda","split"
"Japanese jack mackerel pacific_stock","Japan","Japanese jack mackerel","Trachurus japonicus",50,1,0.188,0.188,0.188,0.0346773611400199,0.0346773611400199,0.0346773611400199,2690101.99569497,2690101.99569497,2690101.99569497,0.490949615324168,0.490949615324168,0.490949615324168,1.60943966019191,1.60943966019191,1.60943966019191,1,1,1,1,0,0,0,1959.49677870551,2573.36459238303,3474.07166200118,1959.49677870551,2573.36459238303,3474.07166200118,1,1.3,1.5,1054249238.99071,3266256021.47612,7814258640.01794,1054249238.99071,3266256021.47612,7814258640.01794,0.01,0.02,0.03,1.3,1.3,0.77,0.77,0.1,1
"Japanese jack mackerel tsushima_current_stock","Japan","Japanese jack mackerel","Trachurus japonicus",50,1,0.188,0.188,0.188,0.0391094617261911,0.0391094617261911,0.0391094617261911,9354949.21488518,9354949.21488518,9354949.21488518,0.406119569944266,0.406119569944266,0.406119569944266,2.05642182423376,2.05642182423376,2.05642182423376,1,1,1,1,0,0,0,1496.95748905285,1928.12885098066,2304.93749930776,1496.95748905285,1928.12885098066,2304.93749930776,1,1.3,1.5,2800792257.38628,8208936642.1146,16977078286.8787,2800792257.38628,8208936642.1146,16977078286.8787,0.01,0.02,0.03,1.3,1.3,0.77,0.77,0.1,1
"Japanese pilchard pacific_stock","Japan","Japanese pilchard","Sardinops melanostictus",50,1,0.188,0.188,0.188,0.0334550125178436,0.0334550125178436,0.0334550125178436,47117190.4233945,47117190.4233945,47117190.4233945,0.502789929745458,0.502789929745458,0.502789929745458,0.846817082506041,0.846817082506041,0.846817082506041,1,1,1,1,0,0,0,1066.03883803224,1714.79849969341,2445.98027473255,1066.03883803224,1714.79849969341,2445.98027473255,1,1.3,1.5,10045750986.0599,38534354611.1286,98108135166.2079,10045750986.0599,38534354611.1286,98108135166.2079,0.01,0.02,0.03,1.3,1.3,0.77,0.77,0.1,1
"Japanese pilchard tsushima_current_stock","Japan","Japanese pilchard","Sardinops melanostictus",50,1,0.188,0.188,0.188,0.0359787391670416,0.0359787391670416,0.0359787391670416,20006711.8699957,20006711.8699957,20006711.8699957,0.52041734632092,0.52041734632092,0.52041734632092,0.478223892386691,0.478223892386691,0.478223892386691,1,1,1,1,0,0,0,860.310295834937,2081.31553799937,3395.0156105885,860.310295834937,2081.31553799937,3395.0156105885,1,1.3,1.5,3442396041.51207,19430940866.9566,55756795557.3678,3442396041.51207,19430940866.9566,55756795557.3678,0.01,0.02,0.03,1.3,1.3,0.77,0.77,0.1,1
"Japanese sandfish hokkaido","Japan","Japanese sandfish","Arctoscopus japonicus",50,1,0.188,0.188,0.188,0.0375096214672773,0.0375096214672773,0.0375096214672773,85386.5131525961,85386.5131525961,85386.5131525961,0.781173174616681,0.781173174616681,0.781173174616681,0.588540049863337,0.588540049863337,0.588540049863337,1,1,1,1,0,0,0,3285.22920203735,4150.79455363703,5774.56647398844,3285.22920203735,4150.79455363703,5774.56647398844,1,1.3,1.5,56102853.293811,163332150.74329,396406353.249887,56102853.293811,163332150.74329,396406353.249887,0.01,0.02,0.03,1.3,1.3,0.77,0.77,0.1,1
"Japanese sandfish sea_of_japan_north_stock","Japan","Japanese sandfish","Arctoscopus japonicus",50,1,0.188,0.188,0.188,0.0338664434508839,0.0338664434508839,0.0338664434508839,202740.865991798,202740.865991798,202740.865991798,0.756804052124244,0.756804052124244,0.756804052124244,1.35288533237986,1.35288533237986,1.35288533237986,1,1,1,1,0,0,0,1702.52863977248,2480.09461761867,3917.95558530552,1702.52863977248,2480.09461761867,3917.95558530552,1,1.3,1.5,69034426.160662,238931075.415412,672077402.488176,69034426.160662,238931075.415412,672077402.488176,0.01,0.02,0.03,1.3,1.3,0.77,0.77,0.1,1
"Japanese sandfish sea_of_japan_west_stock","Japan","Japanese sandfish","Arctoscopus japonicus",50,1,0.188,0.188,0.188,0.0434691086663464,0.0434691086663464,0.0434691086663464,258496.207889367,258496.207889367,258496.207889367,1.49077532694385,1.49077532694385,1.49077532694385,0.792030650365794,0.792030650365794,0.792030650365794,1,1,1,1,0,0,0,2060.20907577478,3391.06472596061,4591.00837859384,2060.20907577478,3391.06472596061,4591.00837859384,1,1.3,1.5,106511246.709407,386482650.827951,886288628.564307,106511246.709407,386482650.827951,886288628.564307,0.01,0.02,0.03,1.3,1.3,0.77,0.77,0.1,1
"Japanese seabass single_stock","Japan","Japanese seabass","Lateolabrax japonicus",50,1,0.188,0.188,0.188,0.0460991775964376,0.0460991775964376,0.0460991775964376,340569.409173614,340569.409173614,340569.409173614,0.713722816096999,0.713722816096999,0.713722816096999,1.59749607807446,1.59749607807446,1.59749607807446,1,1,1,1,0,0,0,5153.25898087533,5829.77451242734,6251.54264314068,5153.25898087533,5829.77451242734,6251.54264314068,1,1.3,1.5,351008473.287066,860089028.649433,1544007935.00963,351008473.287066,860089028.649433,1544007935.00963,0.01,0.02,0.03,1.3,1.3,0.77,0.77,0.1,1
"Japanese seabream pacific_central_stock","Japan","Japanese seabream","Pagrus major",50,1,0.188,0.188,0.188,0.0340233804177217,0.0340233804177217,0.0340233804177217,83345.8461718569,83345.8461718569,83345.8461718569,0.488149061151827,0.488149061151827,0.488149061151827,3.34161600204261,3.34161600204261,3.34161600204261,1,1,1,1,0,0,0,6800.10810694121,8488.19852195251,9991.4400154665,6800.10810694121,8488.19852195251,9991.4400154665,1,1.3,1.5,113352152.846624,335706861.703552,702953500.495782,113352152.846624,335706861.703552,702953500.495782,0.01,0.02,0.03,1.3,1.3,0.77,0.77,0.1,1
"Japanese seabream pacific_south_stock","Japan","Japanese seabream","Pagrus major",50,1,0.188,0.188,0.188,0.0398856924162526,0.0398856924162526,0.0398856924162526,23266.2304404384,23266.2304404384,23266.2304404384,0.785178602321226,0.785178602321226,0.785178602321226,1.81503107077456,1.81503107077456,1.81503107077456,1,1,1,1,0,0,0,7136.11933958416,9439.50445303796,11966.8057726199,7136.11933958416,9439.50445303796,11966.8057726199,1,1.3,1.5,33206119.4010469,99362851.9300557,217069588.289691,33206119.4010469,99362851.9300557,217069588.289691,0.01,0.02,0.03,1.3,1.3,0.77,0.77,0.1,1
