Fishery,Country,Species,Scientific,Time,N,phi_lower,phi_expected,phi_upper,g_lower,g_expected,g_upper,K_lower,K_expected,K_upper,b0_lower,b0_expected,b0_upper,f0_total_lower,f0_total_expected,f0_total_upper,theta_domestic,theta_legal1_lower,theta_legal1_expected,theta_legal1_upper,theta_legal2_lower,theta_legal2_expected,theta_legal2_upper,p1_lower,p1_expected,p1_upper,p2_lower,p2_expected,p2_upper,beta_lower,beta_expected,beta_upper,c1_lower,c1_expected,c1_upper,c2_lower,c2_expected,c2_upper,disc_lower,disc_expected,disc_upper,gamma_p1,gamma_p2,gamma_c1,gamma_c2,lambda,split
Rudderfish single_stock,Japan,Rudderfish,Centrolophus niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandlances nei ise_mikawa_bay_stock,Japan,Sandlances nei,Ammodytidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandlances nei sea_of_japan_stock,Japan,Sandlances nei,Ammodytidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandlances nei sendai_bay_stock,Japan,Sandlances nei,Ammodytidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandlances nei seto_inland_sea_east_stock,Japan,Sandlances nei,Ammodytidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandlances nei soya_strait,Japan,Sandlances nei,Ammodytidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sea cucumbers nei single_stock,Japan,Sea cucumbers nei,Holothuroidea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sea urchins nei single_stock,Japan,Sea urchins nei,Strongylocentrotus spp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smelts nei pacific_stock,Japan,Smelts nei,"Osmerus spp, Hypomesus spp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smelts nei sea_of_japan_stock,Japan,Smelts nei,"Osmerus spp, Hypomesus spp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Swimming crabs, etc. nei single_stock",Japan,"Swimming crabs, etc. nei",Portunidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilefishes nei single_stock,Japan,Tilefishes nei,Branchiostegidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trouts nei single_stock,Japan,Trouts nei,Salmo spp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turbans nei single_stock,Japan,Turbans nei,Turbo spp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitebait smelt single_stock,Japan,Whitebait smelt,Allosmerus elongatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yesso scallop single_stock,Japan,Yesso scallop,Patinopecten yessoensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
